zero-upcrossing period (s);significant wave height (m)
5.34936248976541;4.87530390596478
5.36540214453474;4.91107852218094
5.38143315308115;4.94701076465066
5.39745542135486;4.98309908012785
5.41346885664768;5.01934184759552
5.42947336758258;5.05573737723883
5.44546886410325;5.09228390950678
5.46145525746364;5.12897961415328
5.47743246021751;5.16582258929048
5.49340038620792;5.20281086046531
5.50935895055672;5.23994237973591
5.52530806965409;5.27721502479844
5.54124766114799;5.31462659808142
5.55717764393367;5.35217482590786
5.57309793814314;5.38985735763653
5.58900846513467;5.42767176484901
5.60490914748228;5.46561554056381
5.62079990896522;5.50368609842671
5.63668067455751;5.5418807720035
5.65255137041742;5.58019681402518
5.66841192387705;5.61863139569652
5.6842622634318;5.65718160602211
5.70010231873001;5.69584445118944
5.71593202056247;5.73461685392838
5.73175130085208;5.77349565293504
5.74756009264342;5.81247760235777
5.76335833009242;5.85155937125685
5.77914594845605;5.89073754313967
5.79492288408198;5.93000861552242
5.81068907439831;5.96936899953712
5.82644445790337;6.00881501956784
5.84218897415545;6.04834291293489
5.85792256376267;6.08794882961679
5.87364516837282;6.12762883203519
5.88935673066324;6.16737889483905
5.90505719433076;6.20719490478998
5.9207465040817;6.2470726606678
5.93642460562182;6.2870078732085
5.95209144564642;6.3269961651494
5.96774697183041;6.36703307124901
5.98339113281846;6.40711403841686
5.99902387821517;6.44723442588194
6.01464515857531;6.48738950540664
6.03025492539406;6.52757446157282
6.04585313109739;6.56778439210356
6.06143972903238;6.60801430827228
6.07701467345766;6.64825913534395
6.09257791953388;6.68851371310014
6.10812942331422;6.72877279638543
6.123669141735;6.76903105580474
6.13919703260623;6.80928307835426
6.15471305460239;6.84952336824462
6.17021716725306;6.88974634769821
6.18570933093381;6.92994635787049
6.20118950685695;6.97011765979239
6.21665765706251;7.01025443541968
6.23211374440913;7.05035078873814
6.24755773256512;7.09040074691198
6.26298958599952;7.13039826153577
6.27840926997322;7.17033720995147
6.29381675053016;7.21021139661768
6.30921199448855;7.25001455455868
6.32459496943223;7.28974034688713
6.33996564370199;7.32938236840127
6.35532398638702;7.36893414723031
6.37066996731637;7.40838914660246
6.38600355705055;7.44774076661502
6.4013247268731;7.48698234612809
6.41663344878225;7.52610716470811
6.43192969548269;7.56510844466238
6.44721344037736;7.60397935310331
6.46248465755926;7.64271300410391
6.47774332180344;7.68130246095826
6.49298940855891;7.71974073845183
6.50822289394075;7.7580208052367
6.52344375472215;7.79613558625734
6.53865196832664;7.83407796525384
6.55384751282028;7.87184078732223
6.56903036690399;7.90941686155849
6.58420050990585;7.9467989637249
6.5993579217736;7.98397983902676
6.61450258306703;8.02095220491719
6.62963447495063;8.05770875397728
6.64475357918612;8.09424215683005
6.65985987812513;8.13054506517605
6.67495335470199;8.166610114773
6.69003399242646;8.20242992857638
6.70510177537664;8.23799711989026
6.72015668819186;8.27330429552142
6.73519871606568;8.30834405907052
6.75022784473893;8.34310901419754
6.76524406049285;8.37759176794133
6.78024735014221;8.41178493411238
6.79523770102857;8.44568113670354
6.8102151010136;8.47927301330492
6.82517953847239;8.51255321862782
6.84013100228689;8.54551442796383
6.85506948183941;8.578149340757
6.86999496700612;8.61045068414849
6.88490744815069;8.64241121655879
6.89980691611791;8.67402373129909
6.91469336222746;8.70528106018478
6.92956677826765;8.73617607714956
6.94442715648929;8.76670170193621
6.95927448959957;8.79685090368237
6.97410877075604;8.82661670461869
6.98892999356062;8.85599218371078
7.00373815205367;8.8849704803017
7.01853324070814;8.91354479777249
7.03331525442377;8.94170840716265
7.04808418852133;8.96945465080593
7.06284003873693;8.99677694593011
7.0775828012164;9.02366878826301
7.09231247250968;9.05012375557609
7.10702904956536;9.07613551124404
7.12173252972517;9.10169780774045
7.1364229107186;9.12680449013483
7.15110019065751;9.15144949953002
7.16576436803089;9.17562687645767
7.18041544169959;9.1993307642429
7.1950534108911;9.22255541233102
7.20967827519451;9.24529517953003
7.22429003455532;9.26754453724922
7.2388886892705;9.28929807264696
7.25347423998348;9.31055049171733
7.26804668767926;9.33129662233742
7.28260603367949;9.35153141724729
7.29715227963772;9.37124995693524
7.3116854275346;9.39044745246306
7.32620547967317;9.40911924826284
7.34071243867423;9.42726082476086
7.35520630747168;9.44486780103414
7.36968708930801;9.46193593727076
7.38415478772977;9.47846113726322
7.39860940658311;9.49443945069489
7.41305095000936;9.50986707543529
7.4274794224407;9.52474035969503
7.44189482859582;9.53905580408011
7.45629717347564;9.55281006356809
7.47068646235915;9.56599994939732
7.48506270079917;9.57862243080464
7.49942589461827;9.59067463674047
7.5137760499047;9.60215385738668
7.5281131730083;9.61305754565736
7.5424372705366;9.62338331852078
7.5567483493508;9.63312895825518
7.57104641656193;9.6422924135902
7.58533147952696;9.65087180072616
7.59960354584504;9.65886540423628
7.61386262335367;9.66627167787471
7.62810872012504;9.67308924526867
7.64234184446235;9.67931690048403
7.65656200489613;9.68495360847911
7.67076921018068;9.6899985054691
7.68496346929053;9.69445089912529
7.69914479141692;9.69831026872291
7.71331318596431;9.70157626512187
7.727468662547;9.70424871065826
7.7416112309857;9.70632759891346
7.75574090130422;9.70781309438874
7.76985768372612;9.70870553203631
7.7839615886715;9.70900541670178
7.79805262675371;9.70871342244204
7.81213080877623;9.70783039174973
7.82619614572943;9.70635733465438
7.84024864878754;9.70429542771793
7.85428832930553;9.70164601292469
7.86831519881607;9.69841059646936
7.88232926902653;9.6945908474503
7.89633055181606;9.69018859643653
7.91031905923256;9.6852058339603
7.92429480348989;9.67964470889474
7.93825779696495;9.67350752675453
7.95220805219486;9.66679674787339
7.96614558187419;9.65951498552682
7.98007039885218;9.65166500393691
7.99398251613006;9.64324971619849
8.0078819468583;9.63427218213075
8.02176870433402;9.62473560602899
8.03564280199831;9.614643334362
8.04950425343368;9.60399885336123
8.06335307236148;9.59280578656394
8.07718927263939;9.58106789227159
8.09101286825892;9.56878906094547
8.10482387334293;9.55597331252784
8.11862230214324;9.54262479371067
8.13240816903816;9.52874777514345
8.14618148853022;9.51434664857879
8.15994227524371;9.49942592397349
8.17369054392247;9.48399022652347
8.18742630942754;9.46804429366999
8.20114958673493;9.45159297205419
8.21486039093342;9.43464121441857
8.22855873722231;9.41719407649987
8.24224464090931;9.39925671384491
8.25591811740836;9.38083437864017
8.26957918223751;9.36193241647351
8.28322785101687;9.34255626309771
8.29686413946654;9.32271144115563
8.31048806340454;9.30240355689158
8.32409963874487;9.28163829684608
8.33769888149547;9.26042142453799
8.35128580775629;9.2387587771288
8.36486043371736;9.21665626209001
8.37842277565689;9.19411985386088
8.39197284993938;9.17115559050224
8.40551067301378;9.14776957035144
8.41903626141165;9.12396794868784
8.43254963174534;9.09975693439501
8.44605080070624;9.07514278663923
8.45953978506298;9.05013181155383
8.47301660165976;9.02473035894837
8.48648126741455;8.99894481901891
8.49993379931746;8.97278161909158
8.51337421442907;8.94624722038186
8.52680252987876;8.91934811477591
8.54021876286309;8.89209082164121
8.55362293064422;8.86448188466668
8.56701505054833;8.83652786872757
8.580395139964;8.808235356791
8.59376321634077;8.77961094684829
8.60711929718755;8.75066124888593
8.62046340007113;8.72139288189837
8.63379554261475;8.69181247093607
8.64711574249659;8.66192664419723
8.66042401744836;8.6317420301614
8.67372038525388;8.60126525476652
8.68700486374768;8.57050293863979
8.70027747081361;8.53946169436133
8.71353822438351;8.50814812379298
8.72678714243582;8.47656881544059
8.74002424299433;8.44473034188249
8.7532495441268;8.41263925723872
8.7664630639437;8.38030209469748
8.77966482059697;8.34772536409592
8.79285483227874;8.31491554955196
8.80603311722008;8.28187910715644
8.81919969368983;8.24862246271898
8.83235457999336;8.21515200956577
8.84549779447141;8.18147410640336
8.85862935549891;8.14759507523074
8.87174928148383;8.11352119931713
8.88485759086607;8.07925872123135
8.89795430211629;8.04481384093389
8.91103943373489;8.0101927139265
8.92411300425082;7.97540144945713
8.9371750322206;7.94044610878993
8.95022553622723;7.90533270352855
8.9632645348791;7.87006719399868
8.97629204680906;7.83465548769211
8.98930809067335;7.79910343776556
9.00231268515059;7.76341684160086
9.01530584894084;7.72760143941742
9.0282876007646;7.69166291294924
9.04125795936186;7.65560688417348
9.05421694349119;7.61943891409796
9.06716457192877;7.58316450160301
9.0801008634675;7.54678908234116
9.09302583691608;7.51031802768989
9.10593951109816;7.47375664375911
9.11884190485145;7.43711017045343
9.13173303702681;7.4003837805847
9.14461292648748;7.36358257904101
9.1574815921082;7.32671160200268
9.17033905277439;7.28977581621216
9.18318532738133;7.25278011829335
9.1960204348334;7.21572933411815
9.20884439404323;7.17862821822251
9.221657223931;7.14148145327158
9.23445894342358;7.10429364956736
9.2472495714539;7.06706934460536
9.26002912696005;7.02981300267366
9.27279762888474;6.9925290144963
9.28555509617438;6.95522169691938
9.29830154777856;6.91789529263777
9.3110370026492;6.880553969964
