zero-upcrossing period (s);significant wave height (m)
4.72572859508705;3.09164042649654
4.7354994931952;3.10202356733534
4.74525607729307;3.11243717453654
4.75499834010895;3.12288076715764
4.7647262750324;3.13335386578258
4.77443987610571;3.14385599251468
4.78413913801542;3.15438667100458
4.79382405608383;3.16494542646245
4.8034946262606;3.17553178566945
4.81315084511447;3.18614527699244
4.82279270982488;3.19678543039158
4.83242021817382;3.20745177744203
4.84203336853757;3.21814385133348
4.85163215987862;3.22886118689038
4.86121659173758;3.2396033205742
4.87078666422517;3.25036979049578
4.88034237801427;3.26116013642912
4.889883734332;3.27197389980519
4.89941073495188;3.28281062373734
4.90892338218607;3.29366985301608
4.91842167887763;3.30455113411826
4.92790562839284;3.31545401521152
4.93737523461362;3.32637804616906
4.94683050192996;3.33732277856223
4.95627143523248;3.34828776566586
4.96569803990495;3.35927256247399
4.97511032181695;3.37027672569139
4.9845082873166;3.38129981374012
4.99389194322327;3.39234138676143
5.00326129682043;3.40340100661967
5.01261635584855;3.41447823690181
5.02195712849802;3.42557264291899
5.03128362340215;3.43668379170593
5.04059584963029;3.44781125202689
5.04989381668092;3.45895459436434
5.05917753447487;3.47011339092743
5.06844701334858;3.4812872156497
5.07770226404741;3.4924756441807
5.08694329771903;3.50367825389742
5.0961701259069;3.51489462388802
5.10538276054373;3.52612433495552
5.1145812139451;3.53736696961562
5.12376549880306;3.54862211209083
5.13293562817989;3.55988934830962
5.14209161550178;3.57116826589786
5.15123347455273;3.58245845417963
5.16036121946841;3.59375950416842
5.16947486473011;3.60507100856567
5.17857442515874;3.61639256174567
5.18765991590895;3.62772375976934
5.19673135246321;3.63906420035465
5.20578875062606;3.65041348288891
5.21483212651834;3.66177120841075
5.22386149657154;3.67313697961071
5.23287687752214;3.68451040081668
5.24187828640611;3.69589107799176
5.25086574055337;3.70727861872777
5.25983925758238;3.71867263223036
5.26879885539476;3.73007272931477
5.27774455216998;3.74147852239972
5.2866763663601;3.75288962549534
5.29559431668459;3.76430565419388
5.30449842212516;3.77572622566093
5.31338870192075;3.7871509586275
5.32226517556242;3.79857947337486
5.33112786278849;3.81001139173464
5.33997678357956;3.82144633706793
5.34881195815371;3.83288393425994
5.35763340696169;3.84432380970803
5.36644115068223;3.85576559131563
5.37523521021729;3.86720890847386
5.38401560668755;3.87865339204939
5.39278236142774;3.8900986743824
5.40153549598222;3.90154438926706
5.41027503210047;3.91299017194268
5.41900099173276;3.92443565907964
5.42771339702573;3.93588048876846
5.43641227031817;3.94732430050614
5.44509763413676;3.95876673518779
5.45376951119186;3.9702074350865
5.46242792437346;3.98164604384669
5.47107289674703;3.99308220646795
5.47970445154954;4.00451556929332
