zero-upcrossing period(s);significant wave height (m)
5.26006119108746;4.37435571495474
5.27376378325565;4.39298654598558
5.28745362690134;4.41159836589781
5.30113066847395;4.43019034105401
5.31479485551501;4.44876163462632
5.32844613664757;4.46731140663814
5.34208446156574;4.48583881406041
5.3557097810241;4.50434301088646
5.36932204682722;4.5228231482075
5.38292121181922;4.54127837429527
5.3965072298733;4.55970783467561
5.41008005588133;4.57811067222571
5.4236396457435;4.5964860272392
5.43718595635791;4.61483303752493
5.4507189456103;4.63315083848001
5.46423857236378;4.65143856318013
5.47774479644855;4.66969534247411
5.49123757865172;4.68792030504891
5.50471688070714;4.70611257754587
5.51818266528528;4.72427128463069
5.53163489598315;4.74239554908764
5.54507353731429;4.76048449190793
5.55849855469871;4.77853723239613
5.57190991445304;4.79655288824311
5.58530758378055;4.81453057562044
5.59869153076137;4.83246940929309
5.61206172434265;4.85036850269518
5.62541813432883;4.86822696803082
5.63876073137195;4.88604391636917
5.65208948696199;4.90381845774413
5.66540437341731;4.92154970124818
5.67870536387509;4.93923675513096
5.69199243228187;4.95687872689552
5.70526555338413;4.97447472340665
5.7185247027189;4.99202385097218
5.73176985660448;5.00952521545767
5.7450009921312;5.02697792238489
5.75821808715219;5.04438107702126
5.77142112027428;5.06173378450296
5.78461007084894;5.07903514991351
5.79778491896325;5.09628427839631
5.81094564543095;5.11348027525835
5.82409223178358;5.13062224606881
5.83722466026164;5.14770929676701
5.85034291380582;5.16474053375815
5.86344697604835;5.18171506402579
5.87653683130429;5.19863199522884
5.88961246456305;5.21549043581178
5.90267386147981;5.23228949509259
5.91572100836713;5.24902828339996
5.92875389218655;5.2657059121382
5.9417725005403;5.28232149392332
5.95477682166302;5.29887414266849
5.96776684441364;5.31536297370164
5.9807425582672;5.3317871038577
5.99370395330687;5.34814565159264
6.00665102021591;5.36443773709029
6.0195837502698;5.38066248235559
6.03250213532838;5.39681901132601
6.04540616782806;5.41290644998034
6.05829584077411;5.42892392643763
6.07117114773301;5.44487057106092
6.08403208282489;5.46074551656229
6.09687864071599;5.4765478981095
6.10971081661122;5.49227685342021
6.12252860624678;5.507931522883
6.13533200588285;5.52351104964176
6.14812101229634;5.53901457970727
6.1608956227737;5.55444126205748
6.17365583510383;5.56979024874761
6.18640164757098;5.58506069499923
6.19913305894784;5.6002517592998
6.21185006848855;5.61536260351988
6.2245526759219;5.63039239299971
6.23724088144453;5.64534029665409
6.2499146857142;5.66020548706812
6.26257408984315;5.67498714059803
6.27521909539149;5.68968443746703
6.28784970436072;5.7042965618702
6.30046591918721;5.71882270205824
6.31306774273585;5.73326205044462
6.32565517829371;5.74761380369568
6.33822822956375;5.76187716282796
6.35078690065866;5.776051333293
6.36333119609467;5.79013552509317
6.37586112078552;5.80412895284288
6.38837668003641;5.81803083588158
6.40087787953808;5.83184039836604
6.41336472536088;5.84555686933965
6.42583722394899;5.85917948284444
6.43829538211462;5.8727074779979
6.45073920703234;5.88614009907476
6.4631687062334;5.89947659560318
6.47558388760016;5.91271622245063
6.48798475936059;5.92585823989369
6.50037133008278;5.93890191372304
6.51274360866955;5.95184651530226
6.52510160435311;5.9646913216659
6.53744532668976;5.97743561559176
6.54977478555469;5.99007868567923
6.5620899911368;6.00261982643133
6.57439095393357;6.01505833832873
6.58667768474605;6.02739352789691
6.59895019467382;6.03962470780286
6.6112084951101;6.05175119689863
6.62345259773681;6.06377232031385
6.63568251451979;6.07568740952056
6.64789825770401;6.08749580239832
6.66009983980885;6.09919684330882
6.67228727362345;6.11078988315506
6.6844605722021;6.12227427945181
6.69661974885967;6.1336493963855
6.70876481716712;6.1449146048843
6.72089579094709;6.15606928266853
6.73301268426941;6.16711281431894
6.74511551144687;6.17804459132755
6.75720428703085;6.18886401216273
6.7692790258071;6.19957048232193
6.78133974279158;6.21016341438201
6.79338645322627;6.22064222805338
6.80541917257514;6.2310063502363
6.81743791652005;6.24125521506012
6.8294427009568;6.25138826394277
6.84143354199118;6.26140494563316
6.8534104559351;6.27130471625108
6.86537345930267;6.28108703933588
6.8773225688065;6.29075138589249
6.88925780135387;6.30029723442434
6.90117917404309;6.30972407096971
6.91308670415979;6.31903138915674
6.92498040917334;6.32821869021446
6.93686030673326;6.33728548303195
6.94872641466572;6.34623128416569
6.96057875097006;6.35505561789751
6.97241733381535;6.36375801623816
6.98424218153698;6.37233801897306
6.99605331263337;6.38079517368509
7.00785074576261;6.38912903577326
7.01963449973924;6.39733916847783
7.03140459353098;6.40542514290905
7.04316104625562;6.41338653805182
7.05490387717783;6.42122294080387
7.06663310570609;6.42893394597134
7.07834875138964;6.43651915630161
7.09005083391543;6.44397818248305
7.1017393731052;6.45131064316162
7.11341438891249;6.45851616495384
7.12507590141977;6.4655943824529
7.13672393083559;6.47254493823089
7.14835849749172;6.47936748284738
7.15997962184041;6.48606167485506
7.17158732445164;6.49262718079807
7.18318162601036;6.49906367520973
7.19476254731388;6.50537084061962
7.20633010926919;6.51154836753669
7.2178843328904;6.51759595445843
7.22942523929611;6.52351330785541
7.24095284970696;6.52930014216492
7.25246718544305;6.53495617977938
7.26396826792154;6.54048115104127
7.27545611865419;6.54587479422281
7.28693075924499;6.55113685551444
7.29839221138777;6.55626708900544
7.30984049686386;6.56126525667047
7.32127563753985;6.56613112834796
7.33269765536526;6.57086448171785
7.34410657237035;6.57546510227802
7.3555024106639;6.57993278332031
7.36688519243102;6.58426732590868
7.37825493993105;6.58846853884487
7.38961167549542;6.59253623864359
7.40095542152557;6.59647024949848
7.41228620049091;6.60027040325491
7.4236040349268;6.60393653936804
7.43490894743253;6.60746850487559
7.44620096066937;6.61086615435639
7.45748009735866;6.61412934989089
7.46874638027985;6.61725796102453
7.47999983226866;6.62025186472153
7.49124047621521;6.6231109453284
7.50246833506217;6.62583509452154
7.51368343180301;6.62842421126608
7.52488578948018;6.63087820176689
7.53607543118339;6.63319697942074
7.54725238004785;6.63538046476276
7.55841665925264;6.63742858541601
7.56956829201894;6.63934127603906
7.58070730160849;6.6411184782694
7.59183371132186;6.64276014066952
7.60294754449695;6.64426621866454
7.61404882450733;6.64563667448675
7.62513757476075;6.64687147711554
7.63621381869758;6.64797060221034
7.64727757978929;6.64893403205595
7.65832888153703;6.64976175548682
7.66936774747009;6.65045376783136
7.68039420114452;6.65101007083652
7.69140826614167;6.65143067260399
7.70240996606685;6.65171558751772
7.71339932454789;6.65186483617264
7.72437636523384;6.65187844530231
7.73534111179362;6.65175644770546
7.74629358791471;6.65149888216789
7.75723381730185;6.65110579338815
7.76816182367577;6.65057723189963
7.77907763077196;6.64991325399033
7.78998126233943;6.64911392162149
7.80087274213948;6.64817930234822
7.81175209394453;6.64710946923416
7.82261934153693;6.64590450076843
7.83347450870781;6.64456448077838
7.84431761925595;6.6430894983463
7.85514869698665;6.64147964771725
7.86596776571063;6.63973502821248
7.87677484924297;6.63785574413883
7.88756997140199;6.63584190469597
7.89835315600827;6.63369362388389
