significant wave height (m);zero-up-crossing period (s)
5.607475858549808;7.7661121501480075
5.596303185183568;7.93075564036698
5.562867648268163;8.088586256293338
5.507416344693032;8.240783913228906
5.43035993232219;8.388685539667067
5.332270893073998;8.533768701965478
5.213881138138114;8.677632394210235
5.076078991802343;8.821973664141748
4.919905599988392;8.968558414198897
4.746550818162723;9.1191843346532
4.557348639920808;9.27563349921033
4.3537722308900735;9.43961171004426
4.137428630190739;9.612671282418859
3.91005316985441;9.79611372748067
3.673503635210124;9.990868923989733
3.429754136902116;10.19734817187219
3.1808885733752303;10.415270429332384
2.9290934096755086;10.643464620193626
2.6766492530485713;10.879656811509143
2.4259203257930158;11.12025988920656
2.1793403696526354;11.360195305757566
1.9393927140724374;11.592790811317391
1.7085811863819194;11.809812344180909
1.4893873209063448;12.001697311382156
1.2842082492497524;12.158051922576153
1.095269446426212;12.26844609278596
0.9245084492287472;12.323475890264657
0.7734314718645225;12.315965113897974
0.64295581527768;12.242065187329755
0.5332660451345348;12.101936950725165
0.4437253996302364;11.899729832166424
0.37288549998285536;11.642760851421246
0.3186180524084378;11.340098521314847
0.27835390018279016;11.001022249157145
0.24937526040592692;10.633869753300152
0.2290894007937895;10.245547408328168
0.21522620305463755;9.841624927896055
0.20593675183367455;9.426716043371314
0.1998040323736407;9.004860826707242
0.19579545310495655;8.5797708245641
0.19318878070143788;8.154929218337184
0.19149498711963822;7.733595806820715
0.1903910526279428;7.318769188013524
0.18966741965228057;6.913140954668228
0.18918979254015936;6.519059356707775
0.18887277064289412;6.138508587477435
0.18866232405437972;5.77310396523944
0.18852447141326537;5.424100767351315
0.1884381335728834;5.0924137138596315
0.18839073746847196;4.7786441336697845
0.18837563146197245;4.4831121962868545
0.18839073746847196;4.205892037825437
0.1884381335728834;3.946848065818895
0.18852447141326537;3.7056711672731257
0.18866232405437972;3.4819139680406748
0.18887277064289412;3.275024709854887
0.18918979254015936;3.084379740080402
0.18966741965228057;2.9093150631755273
0.1903910526279428;2.749157883654355
0.19149498711963822;2.603259540902981
0.19318878070143788;2.47103157444971
0.19579545310495658;2.3519865904841075
0.1998040323736407;2.245784644130686
0.20593675183367455;2.152283369419915
0.2152262030546376;2.0715856589619213
0.22908940079378945;2.004073020756755
0.2493752604059271;1.9504088060639124
0.27835390018279016;1.9114983564535746
0.3186180524084383;1.8884058825198693
0.37288549998285553;1.8822455838953887
0.4437253996302364;1.894074681988128
0.5332660451345355;1.924810706531079
0.6429558152776802;1.9751802233370541
0.7734314718645241;2.045692975792648
0.9245084492287478;2.1366299125562236
1.095269446426212;2.248034540011176
1.2842082492497537;2.379701360076016
1.4893873209063448;2.5311603375225658
1.7085811863819211;2.7016605788720938
1.9393927140724379;2.89015865759572
2.1793403696526346;3.0953171430669184
2.4259203257930175;3.315517397607457
2.6766492530485713;3.5488883603511434
2.9290934096755117;3.793350549541558
3.1808885733752303;4.0466724113111985
3.429754136902116;4.306534732699098
3.673503635210124;4.5705982300354995
3.91005316985441;4.836569568290311
4.137428630190739;5.10226179634815
4.3537722308900735;5.365646273300929
4.557348639920808;5.624894382389619
4.746550818162723;5.8784084882567855
4.919905599988392;6.124842554499934
5.076078991802343;6.363113531549491
5.213881138138114;6.592405035932256
5.332270893073998;6.81216499887923
5.43035993232219;7.022098916738201
5.507416344693032;7.222160147962726
5.562867648268163;7.41253842839389
5.596303185183568;7.593647464855197
