"angle";"mean.Hs";"mean.U";"median.Hs";"median.U";"lower.Hs";"lower.U";"upper.Hs";"upper.U"
"0";12.7714559428829;29.6782889485344;12.7500088829951;29.6247982120931;11.9083965563696;28.8350297115077;13.6607477570046;30.6469110220354
"6";12.7442764633201;29.9368844227712;12.7200344236258;29.9099861428504;11.894872961646;28.9636981204387;13.6271689679836;30.9663918587124
"12";12.7378564306292;29.9670883018726;12.7118867743844;29.9483178187932;11.9061189633098;28.9107898424002;13.6425285094466;30.894130897478
"18";12.7071890257176;30.061472869097;12.6825921127042;30.0384775167734;11.9182739259752;28.8733807139098;13.4903401270979;31.3625185763818
"24";12.7272898003684;30.0163257900474;12.6950738132115;30.0104431584332;11.9617020149078;28.7758396291468;13.6198863579677;31.0715529779275
"30";12.6779508874348;30.1017832940386;12.6364100620988;30.1120517559229;11.9405496535203;28.81247659377;13.5264383377152;31.2334096968716
"36";12.6216732389919;30.1792428318821;12.5872100263599;30.1797697956005;11.8546664967421;28.9306846180325;13.4254459360125;31.3724138126801
"42";12.5676376623408;30.2392554195567;12.5854895528517;30.1816805750101;11.671388772639;29.1342351521108;13.3042401308502;31.5070264967633
"48";12.4874681374123;30.3114403840318;12.4531430282216;30.3008459210358;11.7486865498907;29.0646359208582;13.0787929030547;31.7100200924462
"54";12.4337311006432;30.3504826265736;12.3743620574789;30.3580836466779;11.4650718580177;29.270694056071;13.2710650484723;31.5703262018494
"60";12.4104846342008;30.3639039802318;12.3737544435631;30.3584344527358;11.7143901741073;29.1267500591628;12.9402171077157;31.761341349506
"66";12.3791234438653;30.3778668817746;12.3625633226498;30.3634170607871;11.4190811322916;29.2582301156101;12.9653954817794;31.7501312151235
"72";12.3424162452826;30.3897937735876;12.259496990524;30.3969053421133;11.4907990718355;29.2349275444791;13.1338446838056;31.6953987515705
"78";12.2673658980003;30.4057462173581;12.2507787108762;30.3987584696589;11.6114117490514;29.2092905285162;13.2596241699574;31.6686634964654
"84";12.2099338171095;30.4117825722998;12.237343083547;30.4001706109946;11.6670427459376;29.2034434751314;12.9335432192902;31.70293598542
"90";12.1664811856529;30.4117825722998;12.1490958817479;30.4001706109946;11.2923056037909;29.2034434751314;12.5821262293877;31.70293598542
"96";12.0922037129249;30.4039756953313;12.1754014557082;30.402935438229;11.5980011942412;29.2355733763898;12.6251625526752;31.7074592852678
"102";11.9752763702441;30.3791220214058;11.9557544298257;30.3562480216263;11.4276914697118;29.1993729269249;12.8236149609883;31.7496416468339
"108";11.8449151188938;30.3367650832166;11.7128259078434;30.2773157600576;11.5380079245714;29.2352169159274;11.9995541957189;31.4818880733051
