wind speed (m/s);significant wave height (m)
29.6240307450921;12.6980271382931
29.896968514645;12.6693402227492
29.8980611787048;12.6691079698336
30.0166739945503;12.6305683297397
29.8441045704107;12.7074011875738
30.1361589392015;12.5387835191344
30.0899685030598;12.5723428353785
30.0761400846017;12.5847939992845
30.3932389396984;12.2326200423761
30.3086830550116;12.3490012333284
30.3382688451298;12.2977571416615
30.2952324893656;12.3944183793228
30.319457360079;12.3198618935381
30.3786081787614;12.0415791709643
30.3767322347139;12.0594275863284
30.3767322347139;12.1782479810166
30.3611983166375;12.0304526230354
30.3151905826921;11.8140032526472
30.3109357067636;11.8009080910494
30.2041533877911;11.5610710758343
30.0066192069571;11.2189318383984
29.5422040426821;10.5797192026976
28.3205651736643;9.22295178616472
25.7190836431772;6.88056729494799
22.2691500893471;4.37404384929773
19.5950486088661;2.83015063970161
17.5975552564773;1.94080930050503
15.6942698889491;1.32239439704324
13.0998907083529;0.770942078747405
8.99007496786976;0.338983038261088
0.252441631955169;0.338983038261087
0.162873945069127;0.34839698149576
0.144431465546269;0.352317051531808
0.129086276480701;0.357303005701629
0.123009263078791;0.360008666389164
0.117442153860992;0.363222838394669
0.114732386969209;0.36519159928253
0.108283987410331;0.370997764324592
0.101562185612332;0.37846308152365
0.0989040880735984;0.382121638918812
0.0973595347568631;0.384796883738398
0.0903752354463859;0.400483876829683
0.0882168624088049;0.407126665994529
0.0850436969264179;0.422055235865324
0.0826118894304396;0.445192338664572
0.0826118894304396;0.471338575566974
0.0890004516554126;0.532121684913846
0.112399195621974;0.642204120302908
0.175138314236766;0.835295272800539
0.276164121407683;1.06220295081978
0.415873604771113;1.30418687430443
0.610190777716636;1.57164151798372
0.89516234143599;1.88813450302088
1.35976121283316;2.30646120580311
2.28297679401041;2.97721658804556
4.26583210140062;4.12201863353138
12.5712373085119;7.81982327484823
25.4700150513052;12.0108902208124
28.4503694978075;12.6443841145189
28.9607487764223;12.6980271382931
29.6240307450921;12.6980271382931
