significant wave height (m);wind speed (m/s)
2.2519942512569107;24.52312610212763
2.388536679767842;24.79966299125851
2.529631222452391;25.052591207580786
2.6751521293578917;25.28349322976243
2.8249656307474806;25.494051441934396
2.9789309607650782;25.68599861804485
3.136901309439731;25.86107502029692
3.298724700209572;26.02099246414892
3.4642447924066766;26.167405303128007
3.633301609934797;26.301887986095185
3.805732198736392;26.42591862700487
3.981371216636014;26.54086789018688
4.16005145981929;26.647992446789235
4.341604330615132;26.748432231145014
4.5258602514442865;26.843210774831576
4.71264902982631;26.933237942100593
4.901800179239554;27.019314469727785
5.093143200439184;27.102137796097
5.2865078275850514;27.182308740685816
5.481724243237453;27.26033868084005
5.678623265962632;27.336656938024955
5.87703651396556;27.411618153158248
6.076796547845308;27.4855094830335
6.277736995256354;27.55855749801897
6.479692659962062;27.630934697792313
6.682499617488535;27.702765592606347
6.885995299329214;27.77413232296172
7.090018567414711;27.845079807147144
7.294409780347449;27.915620421815266
7.4990108527073644;27.985738229588165
7.703665308560953;28.055392775309645
7.908218330151414;28.12452247667717
8.112516802610127;28.193047638002007
8.31640935540829;28.260873116512645
8.519746401160534;28.32789067122209
8.722380172299589;28.393981023213296
8.92416475605734;28.459015655383542
9.124956128118894;28.522858377787284
9.324612185251212;28.585366683108827
9.52299277715789;28.6463929148633
9.719959737761284;28.70578526897071
9.915376916077108;28.763388647504573
10.109110206808724;28.819045381589724
10.301027580763437;28.872595838711298
10.490999115161879;28.923878928093902
10.678897023898868;28.9727325163471
10.864595687784764;29.018993764204033
11.047971684792824;29.062499393961662
11.228903820319568;29.103085896122234
11.407273157449866;29.140589682733967
11.582963047218085;29.17484719404398
11.755859158851024;29.20569496429608
11.925849509957473;29.23296965179036
12.092824496637618;29.256508037726373
12.256676923483257;29.276146997815488
12.417302033431834;29.29172345018617
12.574597537412489;29.303074282688463
12.7284636437876;29.31003626243008
12.8788030875316;29.312445930045516
13.025521159014668;29.31013948091452
