hs;tz
2.620070174265069;4.8017022376287075
2.920049346588491;5.150776358689727
3.220028518911913;5.434810704295096
3.5200076912353357;5.6704335716424605
3.819986863558757;5.86905005375766
4.098693851956329;6.070084599548843
4.337919259103228;6.3023632110616985
4.577144666250126;6.510361643789556
4.8163700733970245;6.697697831300801
5.055595480543922;6.867304920072564
5.294820887690821;7.021585966386215
5.534046294837718;7.162528509856526
5.7732717019846165;7.291790661657615
5.978856824902771;7.452463624862057
6.167346231616365;7.623528104668498
6.355835638329959;7.784446367944724
6.544325045043553;7.936095107544924
6.724474320696278;8.089273257663958
6.868936676258128;8.277239592683411
7.013399031819978;8.45746244714514
7.130039999982783;8.664086493303442
7.126597202473328;9.013419133660806
6.854518461538461;9.340270723259316
6.5834769230769234;9.615123197033945
6.312435384615385;9.913578744045061
6.041393846153847;10.14366178494695
5.770352307692308;10.234974728236839
5.499310769230769;10.335288654256859
5.2282692307692304;10.446003437477408
4.957227692307693;10.568825110692584
4.686186153846154;10.705854403567656
4.415144615384615;10.859707892971079
4.144103076923076;11.033686695713252
3.873061538461538;11.232015993218624
3.60202;11.460192697411275
3.330978461538461;11.725502853927061
3.059936923076923;12.037814026999227
2.788895384615384;12.410829736566498
2.517853846153846;12.86415412008311
2.501820414483615;12.894047553765615
2.2375726414446033;13.31749705966742
2.0537451682192454;13.311847630460083
1.8699176949938878;13.305087435469702
1.6860902217685307;13.296853168039362
1.502262748543173;13.286603694444796
1.318435275317815;13.273496083074258
1.134607802092458;13.25614112019807
0.9507803288671005;13.232075208690352
0.766952855641743;13.196472797459647
0.5831253824163856;13.138423408290334
0.39929790919102803;13.02692484101293
0.21547043596567053;12.725177437054112
0.3495215384615385;2.457002524644799
0.6205630769230769;2.63702885015593
0.8916046153846154;3.0110850608822464
1.1626461538461539;3.369109570632468
1.4336876923076922;3.7062029550019218
1.7047292307692308;3.936104759787235
1.975770769230769;4.185174043025869
2.246812307692308;4.469125401277972
2.517853846153846;4.6919432564028325
2.788895384615384;5.007396329338345
3.059936923076923;5.290158183504281
3.330978461538461;5.52690340390551
3.60202;5.728019844477107
3.873061538461538;5.900987540743397
