hs;tz
3.095916417833892;5.032308447611331
3.5439568299009134;5.484992317118214
3.931373739939645;5.92605719195851
4.283519739459616;6.339766574978615
4.6221679202559205;6.710159700864121
4.893605899233014;7.126535170360813
5.039618841496389;7.6857844631974865
4.790431794871796;8.093950148401591
4.359054358974359;8.32248980017621
3.927676923076923;8.601230550928282
3.4962994871794875;8.948754007956214
3.0649220512820516;9.394102972647035
2.6335446153846154;9.985349214601067
2.200187170449446;10.588892590027703
1.8480411709294737;10.518475610815793
1.4958951714095017;10.414905162027013
1.1437491718895292;10.247558633472071
0.7916031723695571;9.93132333685477
0.4394571728495851;9.108276448615497
0.4766574358974359;2.6760242957662403
0.9080348717948719;2.8808148763002457
1.339412307692308;3.259533896419829
1.7707897435897437;3.621271832015737
2.2021671794871795;4.130534792145083
2.6335446153846154;4.567795114881284
