significant wave height [m];wind speed [m/s]
12.14;26.623
12.298;26.597
12.443;26.565
12.572;26.527
12.685;26.484
12.777;26.435
12.851;26.38
12.906;26.319
12.941;26.252
12.966;26.179
12.982;26.101
12.989;26.016
12.986;25.926
12.98;25.83
12.976;25.729
12.978;25.622
12.984;25.511
12.992;25.395
13.006;25.274
13.026;25.149
13.05;25.018
13.077;24.882
13.11;24.742
13.142;24.597
13.167;24.447
13.18;24.293
13.188;24.135
13.191;23.972
13.194;23.805
13.192;23.634
13.181;23.458
13.171;23.278
13.152;23.093
13.124;22.902
13.096;22.706
13.067;22.504
13.034;22.296
12.992;22.082
12.952;21.861
12.903;21.634
12.851;21.401
12.781;21.162
12.708;20.918
12.639;20.669
12.563;20.415
12.474;20.157
12.373;19.896
12.286;19.631
12.199;19.363
12.113;19.092
12.031;18.819
11.957;18.542
11.881;18.263
11.805;17.981
11.725;17.696
11.652;17.408
11.608;17.115
11.554;16.818
11.485;16.517
11.409;16.212
11.324;15.901
11.239;15.586
11.173;15.267
11.101;14.943
11.04;14.615
10.981;14.284
10.876;13.948
10.771;13.61
10.671;13.269
10.558;12.926
10.447;12.58
10.371;12.234
10.274;11.885
10.224;11.536
10.168;11.186
10.073;10.835
9.9376;10.483
9.8612;10.131
9.8024;9.7773
9.735;9.4236
9.6345;9.0698
9.4813;8.7164
9.3277;8.364
9.2217;8.0133
9.1543;7.6651
9.1019;7.3206
9.1165;6.9812
9.0149;6.6478
8.8806;6.3215
8.8191;6.0034
8.7641;5.6944
8.7323;5.3954
8.7151;5.107
8.5622;4.8298
8.3192;4.5642
8.1196;4.3103
7.9581;4.0683
7.7742;3.838
7.5939;3.6195
7.3729;3.4122
7.1786;3.216
6.9747;3.0302
6.7814;2.8545
6.6697;2.6882
6.6376;2.5308
6.608;2.3819
6.549;2.2407
6.5449;2.1072
6.5151;1.981
6.4569;1.8618
6.3796;1.7494
6.3059;1.6435
6.2105;1.5437
6.0745;1.4499
5.9156;1.3618
5.7415;1.2792
5.5557;1.2018
5.3784;1.1293
5.231;1.0613
5.1006;0.99762
4.9869;0.93791
4.8775;0.88202
4.7726;0.82978
4.6697;0.781
4.5641;0.73539
4.4574;0.69271
4.3538;0.65281
4.262;0.61563
4.1753;0.58105
4.09;0.54891
4.0042;0.51901
3.9089;0.49108
3.8049;0.46486
3.6955;0.44022
3.5815;0.41709
3.4655;0.39542
3.3586;0.3751
3.2745;0.3557
3.2116;0.33698
3.1671;0.31885
3.1383;0.30134
3.1229;0.28451
3.119;0.2684
3.1223;0.25304
3.1314;0.23845
3.1437;0.22463
3.1485;0.21159
3.1355;0.19952
3.1075;0.18851
3.0668;0.17858
3.0162;0.16969
2.9583;0.16175
2.8952;0.1547
2.8249;0.14844
2.7449;0.1429
2.6502;0.138
2.5378;0.13367
2.4163;0.12983
2.2885;0.12644
2.154;0.12345
2.0167;0.12081
1.8793;0.11847
1.7414;0.11641
1.6071;0.1146
1.481;0.11301
1.369;0.11162
1.2755;0.11041
1.1949;0.10936
1.1243;0.10846
1.0652;0.1077
1.0138;0.10706
0.9674;0.10654
0.9256;0.10613
0.88788;0.10583
0.85375;0.10563
0.82321;0.10553
0.7963;0.10553
0.77087;0.10563
0.74671;0.10583
0.7243;0.10613
0.70323;0.10654
0.68342;0.10706
0.6649;0.1077
0.64772;0.10846
0.6315;0.10936
0.61624;0.11041
0.60166;0.11162
0.58741;0.11301
0.5735;0.1146
0.55959;0.11641
0.54571;0.11847
0.53191;0.12081
0.51821;0.12345
0.50429;0.12644
0.48988;0.12983
0.47506;0.13367
0.46019;0.138
0.4457;0.1429
0.4316;0.14844
0.4179;0.1547
0.40443;0.16175
0.39069;0.16969
0.37673;0.17858
0.36295;0.18851
0.34968;0.19952
0.33688;0.21159
0.32456;0.22463
0.31287;0.23845
0.30196;0.25304
0.29179;0.2684
0.28245;0.28451
0.27443;0.30134
0.2671;0.31885
0.26037;0.33698
0.2542;0.3557
0.24861;0.3751
0.24359;0.39542
0.2387;0.41709
0.23372;0.44022
0.22866;0.46486
0.22356;0.49108
0.21846;0.51901
0.21389;0.54891
0.20901;0.58105
0.20387;0.61563
0.19853;0.65281
0.19296;0.69271
0.18757;0.73539
0.18243;0.781
0.17755;0.82978
0.17289;0.88202
