significant wave height [m];zero-upcrossing period [s]
2.4956;4.8134
2.565;4.8814
2.6628;4.9758
2.7721;5.0797
2.8812;5.1822
2.9855;5.2793
3.0742;5.3621
3.1292;5.4153
3.1655;5.4527
3.1946;5.4842
3.2224;5.515
3.2513;5.5471
3.29;5.5877
3.3583;5.6536
3.5094;5.7878
3.6943;5.9474
3.8944;6.1159
4.0986;6.2843
4.2852;6.4364
4.4004;6.5335
4.4936;6.6141
4.5876;6.6951
4.6838;6.7777
4.7832;6.8624
4.885;6.9487
4.9934;7.0394
5.1157;7.1395
5.2609;7.2551
5.4416;7.3943
5.6519;7.5523
5.861;7.7082
6.0456;7.8473
6.1867;7.958
6.2682;8.0311
6.2889;8.066
6.2692;8.0759
6.222;8.0686
6.1661;8.0558
6.1203;8.05
6.1037;8.0636
6.1212;8.1004
6.1717;8.1598
6.2459;8.2357
6.3268;8.3171
6.4009;8.3954
6.4667;8.4696
6.5236;8.5396
6.5689;8.6034
6.5981;8.6585
6.6039;8.7
6.5802;8.7242
6.5314;8.734
6.4709;8.7381
6.407;8.742
6.3437;8.7485
6.2899;8.7639
6.2585;8.7978
6.2526;8.853
6.2719;8.9297
6.3139;9.0264
6.3639;9.1329
6.3867;9.2243
6.3551;9.2807
6.2675;9.3
6.1496;9.2999
6.0122;9.2873
5.8636;9.2675
5.7039;9.2398
5.5388;9.2087
5.3864;9.1891
5.2536;9.1879
5.1495;9.2143
5.0903;9.2844
5.0617;9.3876
5.0354;9.4996
5.013;9.6224
4.9704;9.7329
4.9071;9.8305
4.8725;9.9647
4.8447;10.114
4.7765;10.231
4.6818;10.325
4.5617;10.398
4.4037;10.43
4.2483;10.466
4.1215;10.538
4.016;10.639
3.9217;10.759
3.8189;10.869
3.6923;10.944
3.5543;10.999
3.4197;11.053
3.2945;11.115
3.1751;11.182
3.0555;11.244
2.9371;11.302
2.823;11.361
2.7153;11.424
2.6157;11.492
2.5256;11.571
2.4466;11.664
2.3775;11.773
2.3167;11.895
2.2612;12.026
2.2076;12.159
2.1513;12.283
2.0899;12.392
2.0222;12.48
1.9488;12.548
1.87;12.595
1.7872;12.622
1.7021;12.633
1.6169;12.633
1.5335;12.63
1.453;12.626
1.3762;12.626
1.3029;12.628
1.2326;12.63
1.1646;12.626
1.0989;12.617
1.0353;12.599
0.97423;12.575
0.91556;12.542
0.85966;12.505
0.80644;12.462
0.75573;12.415
0.70739;12.362
0.66142;12.305
0.61757;12.242
0.5757;12.175
0.53576;12.103
0.49772;12.026
0.46148;11.945
0.42703;11.86
0.39439;11.773
0.36352;11.684
0.33441;11.596
0.30708;11.508
0.28147;11.422
0.25752;11.339
0.23514;11.258
0.21424;11.181
0.19469;11.104
0.17648;11.03
0.15948;10.956
0.14359;10.884
0.1287;10.81
0.1148;10.736
0.10184;10.661
0.089861;10.584
0.078964;10.503
0.069178;10.419
0.060463;10.331
0.052754;10.239
0.045947;10.141
0.039961;10.038
0.034718;9.9298
0.030136;9.8171
0.026141;9.7004
0.022674;9.5822
0.019669;9.4633
0.017069;9.344
0.014823;9.2256
0.012889;9.11
0.011229;8.9985
0.0098058;8.8921
0.0085914;8.7929
0.0075559;8.7006
0.0066748;8.6151
0.0059267;8.5357
0.005295;8.4625
0.0047626;8.393
0.0043193;8.3278
0.0039541;8.2654
0.0036598;8.2057
0.0034293;8.148
0.0032579;8.0923
0.0031409;8.0377
0.0030755;7.9846
0.0030589;7.9322
0.0030896;7.8805
0.0031665;7.8296
0.003289;7.779
0.0034573;7.7286
0.0036722;7.6787
0.0039348;7.6288
0.0042469;7.5789
0.0046117;7.5294
0.0050314;7.4797
0.0055099;7.4298
0.0060532;7.3806
0.006665;7.331
0.0073518;7.2811
0.0081231;7.2321
0.0089845;7.1825
0.009946;7.1327
0.011022;7.084
0.01222;7.0347
0.013556;6.9854
0.015048;6.9371
0.016697;6.8862
0.018521;6.8338
0.020529;6.7787
0.022731;6.7212
0.025131;6.6603
0.02775;6.5989
0.030579;6.536
0.033609;6.4726
0.036806;6.4092
0.040086;6.3444
0.043423;6.2791
0.04676;6.2107
0.050119;6.142
0.053437;6.0696
0.056793;5.9974
0.060107;5.9222
0.063373;5.8447
0.066545;5.7639
0.069616;5.6803
0.072579;5.5947
0.075421;5.5068
0.07816;5.4179
0.080853;5.3305
0.083512;5.245
0.086107;5.1597
0.088693;5.0765
0.091354;4.9976
0.093984;4.9193
0.096525;4.84
0.099035;4.7613
0.10141;4.6805
0.10355;4.5954
0.10554;4.5083
0.10729;4.4176
0.10883;4.3242
0.1102;4.2291
0.11131;4.1313
0.11194;4.0269
0.11251;3.9245
0.11274;3.8197
0.11289;3.717
0.11329;3.6225
0.11391;3.5352
0.1149;3.4571
0.11607;3.3848
0.11758;3.3203
0.11907;3.2579
0.12068;3.1996
0.12222;3.1424
0.12357;3.085
0.12478;3.0278
0.12568;2.9689
0.12619;2.907
0.12542;2.8322
0.12382;2.75
0.12165;2.6631
0.11959;2.5788
0.11798;2.5008
0.117;2.4306
0.11662;2.3675
0.11728;2.3157
0.1184;2.2693
0.11785;2.2083
0.11652;2.1422
0.11588;2.0847
0.11589;2.0347
0.11746;1.9994
0.12247;1.9932
0.12975;2.0034
0.13722;2.0126
0.14341;2.0105
0.14701;1.9902
0.14799;1.9534
0.14851;1.9154
0.15042;1.8881
0.1547;1.8769
0.16057;1.8758
0.16754;1.8809
0.17545;1.8909
0.18362;1.9016
0.19075;1.9067
0.19732;1.909
0.20395;1.9118
0.21049;1.9144
0.21733;1.9184
0.22386;1.9212
0.23113;1.9271
0.24229;1.9489
0.25578;1.9789
0.26901;2.0066
0.28282;2.0353
0.29715;2.0647
0.30769;2.0802
0.31433;2.0827
0.31971;2.0816
0.32549;2.0824
0.33323;2.0899
0.34527;2.1108
0.36423;2.1519
0.38758;2.2041
0.41292;2.2598
0.43673;2.3093
0.45763;2.3497
0.47389;2.3775
0.48802;2.3997
0.50183;2.421
0.5172;2.4459
0.53433;2.4747
0.55287;2.5064
0.57195;2.5387
0.5898;2.5677
0.60557;2.5918
0.62009;2.6131
0.6335;2.6318
0.64652;2.6497
0.66082;2.67
0.67629;2.6925
0.6928;2.7167
0.71019;2.7422
0.72849;2.769
0.74724;2.7962
0.76824;2.827
0.79373;2.8656
0.8238;2.9115
0.85947;2.9661
0.90094;3.0293
0.94799;3.1001
0.99656;3.1713
1.0469;3.2433
1.0935;3.3077
1.1356;3.3639
1.1705;3.4082
1.199;3.4426
1.2197;3.4654
1.2371;3.4833
1.2523;3.498
1.2681;3.5136
1.2876;3.5342
1.3113;3.5605
1.3414;3.5952
1.3771;3.6368
1.4186;3.6855
1.4653;3.74
1.5163;3.7989
1.5694;3.8593
1.6247;3.9212
1.6812;3.9835
1.7364;4.0432
1.7918;4.1023
1.8481;4.1617
1.9067;4.2228
1.965;4.2831
2.0255;4.345
2.0876;4.4082
2.1496;4.4706
2.2089;4.5299
2.268;4.5887
2.4956;4.8134
