significant wave height [m];wind speed [m/s]
8.6151;26.241
8.7271;26.21
8.8329;26.173
8.9321;26.13
9.0252;26.08
9.1109;26.023
9.1904;25.96
9.2633;25.891
9.33;25.815
9.3895;25.733
9.4396;25.646
9.4818;25.552
9.5212;25.452
9.5568;25.346
9.5863;25.235
9.6081;25.119
9.6244;24.997
9.6369;24.87
9.6433;24.738
9.6441;24.601
9.6404;24.459
9.633;24.313
9.6189;24.163
9.6037;24.009
9.5846;23.851
9.5666;23.69
9.5442;23.524
9.5172;23.356
9.4882;23.183
9.4589;23.008
9.429;22.829
9.3994;22.647
9.3707;22.46
9.3345;22.268
9.3003;22.071
9.2626;21.869
9.2254;21.663
9.1889;21.451
9.1486;21.234
9.1068;21.011
9.0607;20.784
9.0156;20.551
8.9675;20.314
8.9168;20.073
8.8594;19.83
8.7997;19.585
8.7323;19.337
8.6585;19.088
8.5868;18.836
8.5084;18.581
8.4253;18.322
8.3344;18.061
8.2362;17.798
8.1356;17.531
8.0287;17.26
7.912;16.985
7.7916;16.706
7.667;16.422
7.537;16.134
7.3968;15.843
7.256;15.548
7.1103;15.251
6.9631;14.951
6.8103;14.648
6.6596;14.343
6.5123;14.037
6.3689;13.729
6.2313;13.421
6.0957;13.113
5.9673;12.805
5.8432;12.497
5.7225;12.189
5.6055;11.881
5.4994;11.573
5.404;11.266
5.315;10.96
5.2287;10.655
5.1346;10.351
5.0256;10.045
4.926;9.737
4.8548;9.4265
4.8138;9.1134
4.7666;8.7982
4.68;8.4806
4.5876;8.1605
4.5296;7.8387
4.454;7.5166
4.4034;7.1964
4.3816;6.8805
4.3293;6.5703
4.247;6.2675
4.132;5.9736
4.0326;5.6892
3.9919;5.4151
3.9437;5.152
3.8644;4.8998
3.8157;4.6584
3.763;4.4272
3.7293;4.2056
3.753;3.9936
3.7663;3.791
3.7635;3.5964
3.7382;3.4098
3.7019;3.2312
3.6746;3.0605
3.6463;2.897
3.6123;2.7403
3.5769;2.5902
3.5192;2.4469
3.4352;2.3106
3.3691;2.181
3.3227;2.0586
3.2726;1.943
3.2117;1.8334
3.1485;1.7297
3.0956;1.6313
3.0483;1.5376
2.9971;1.4484
2.9406;1.3633
2.8842;1.2823
2.8271;1.2052
2.7721;1.1319
2.7354;1.0624
2.7;0.99628
2.6681;0.93359
2.6256;0.87467
2.5733;0.81963
2.5141;0.76827
2.4529;0.72039
2.39;0.67581
2.3292;0.63445
2.2738;0.59612
2.2236;0.56062
2.1766;0.52774
2.1298;0.49728
2.0827;0.46898
2.0342;0.44264
1.9847;0.41813
1.9347;0.39532
1.8882;0.37402
1.8444;0.35377
1.8035;0.33423
1.7646;0.31532
1.7278;0.29704
1.6932;0.27945
1.6606;0.2626
1.6305;0.24653
1.6027;0.23127
1.5773;0.2168
1.5493;0.20321
1.5171;0.19068
1.4822;0.17927
1.4444;0.16899
1.4036;0.15977
1.3596;0.15154
1.3143;0.14423
1.2681;0.13773
1.2224;0.13197
1.1763;0.12687
1.1303;0.12236
1.084;0.11838
1.0368;0.11486
0.98872;0.11175
0.94154;0.10902
0.89694;0.10662
0.85374;0.10452
0.81235;0.1027
0.77238;0.10111
0.73402;0.099755
0.69702;0.098603
0.66224;0.097642
0.62985;0.09686
0.60007;0.096245
0.57226;0.095791
0.54482;0.095491
0.51747;0.095343
0.4902;0.095343
0.46324;0.095491
0.43717;0.095791
0.41202;0.096245
0.38705;0.09686
0.36237;0.097642
0.33857;0.098603
0.31598;0.099755
0.29525;0.10111
0.27681;0.1027
0.26067;0.10452
0.24642;0.10662
0.23362;0.10902
0.22224;0.11175
0.21227;0.11486
0.20365;0.11838
0.19585;0.12236
0.18858;0.12687
0.18184;0.13197
0.1756;0.13773
0.1695;0.14423
0.16324;0.15154
0.15686;0.15977
0.1504;0.16899
0.14389;0.17927
0.13736;0.19068
0.13081;0.20321
0.12427;0.2168
0.1177;0.23127
0.11106;0.24653
0.10473;0.2626
0.098997;0.27945
0.093804;0.29704
0.0891;0.31532
0.084835;0.33423
0.080965;0.35377
0.077452;0.37402
0.074267;0.39532
0.071432;0.41813
0.068964;0.44264
0.066823;0.46898
0.064975;0.49728
0.06339;0.52774
0.062015;0.56062
0.060816;0.59612
