significant wave height [m];wind speed [m/s]
8.7815;25.547
8.8734;25.51
8.9582;25.465
9.0367;25.413
9.1113;25.355
9.1825;25.288
9.2472;25.214
9.3043;25.133
9.3559;25.045
9.4014;24.951
9.4398;24.849
9.4713;24.741
9.4961;24.626
9.5147;24.505
9.5259;24.378
9.528;24.247
9.5226;24.11
9.5138;23.969
9.5017;23.823
9.4865;23.673
9.4666;23.519
9.443;23.361
9.4192;23.2
9.3926;23.034
9.3662;22.865
9.3328;22.692
9.2986;22.515
9.2579;22.335
9.208;22.153
9.1485;21.967
9.0919;21.778
9.0309;21.586
8.9684;21.392
8.9034;21.196
8.8312;20.996
8.7608;20.795
8.6925;20.591
8.6217;20.385
8.5512;20.177
8.4851;19.965
8.4097;19.751
8.3297;19.534
8.2415;19.315
8.1582;19.093
8.0711;18.867
7.9788;18.639
7.881;18.408
7.7892;18.173
7.6968;17.935
7.602;17.693
7.5079;17.448
7.4125;17.198
7.3173;16.946
7.2123;16.69
7.1031;16.43
6.9977;16.167
6.8837;15.902
6.7622;15.633
6.634;15.362
6.4953;15.089
6.3554;14.813
6.2145;14.535
6.0782;14.256
5.9462;13.975
5.8156;13.692
5.6839;13.408
5.5592;13.123
5.4358;12.838
5.3187;12.551
5.2095;12.264
5.098;11.977
4.9905;11.689
4.8796;11.401
4.7717;11.112
4.677;10.823
4.5901;10.534
4.5062;10.244
4.4218;9.953
4.3312;9.6612
4.2392;9.3683
4.1633;9.0744
4.1029;8.7798
4.0439;8.4846
3.9772;8.1894
3.9036;7.8946
3.8532;7.6008
3.8043;7.3086
3.7521;7.0191
3.691;6.7329
3.6279;6.4511
3.552;6.1743
3.466;5.9032
3.3886;5.6383
3.3197;5.3801
3.2599;5.1291
3.1732;4.8859
3.0887;4.6508
3.0242;4.4239
3.0073;4.2054
2.9961;3.9951
2.979;3.7932
2.9472;3.5995
2.9015;3.4141
2.857;3.2367
2.8122;3.0673
2.7721;2.9056
2.7311;2.7514
2.6762;2.6045
2.5927;2.4645
2.522;2.3311
2.4705;2.204
2.4395;2.0828
2.4214;1.9674
2.4012;1.8576
2.376;1.753
2.3473;1.6537
2.3179;1.5593
2.2903;1.4698
2.2692;1.3851
2.2438;1.305
2.2146;1.2295
2.1813;1.1585
2.1435;1.092
2.1053;1.0298
2.0663;0.97159
2.0278;0.91716
1.9933;0.86626
1.9632;0.81879
1.931;0.77455
1.8961;0.73327
1.8593;0.69472
1.8239;0.65867
1.7897;0.62487
1.7558;0.59326
1.7209;0.56378
1.6858;0.53627
1.6474;0.51049
1.6067;0.4862
1.5635;0.46329
1.5187;0.44168
1.4717;0.42133
1.4238;0.4022
1.3767;0.38421
1.3305;0.36718
1.2848;0.35088
1.2387;0.33516
1.1932;0.31998
1.1476;0.30534
1.1034;0.29126
1.0598;0.27773
1.0183;0.26478
0.9789;0.25239
0.9417;0.24055
0.90692;0.22925
0.87524;0.21862
0.8467;0.2088
0.82122;0.19982
0.79881;0.19169
0.77848;0.18437
0.76037;0.17781
0.7435;0.17195
0.72681;0.16673
0.7103;0.1621
0.69399;0.15801
0.67783;0.1544
0.66168;0.15123
0.64505;0.14846
0.62801;0.14606
0.61094;0.14399
0.59387;0.14224
0.57685;0.14078
0.55992;0.13958
0.54303;0.13864
0.52622;0.13795
0.50829;0.13749
0.48905;0.13727
0.46862;0.13727
0.44728;0.13749
0.42494;0.13795
0.40171;0.13864
0.37772;0.13958
0.35371;0.14078
0.33035;0.14224
0.30769;0.14399
0.28701;0.14606
0.26859;0.14846
0.25242;0.15123
0.23821;0.1544
0.22575;0.15801
0.21498;0.1621
0.20581;0.16673
0.19755;0.17195
0.18953;0.17781
0.18151;0.18437
0.1728;0.19169
0.16361;0.19982
0.15411;0.2088
0.14446;0.21862
0.13479;0.22925
0.12524;0.24055
0.11604;0.25239
0.10726;0.26478
0.098914;0.27773
0.091256;0.29126
0.084955;0.30534
0.079803;0.31998
0.075614;0.33516
0.072221;0.35088
0.06948;0.36718
0.06726;0.38421
0.065309;0.4022
0.063544;0.42133
0.061936;0.44168
0.060472;0.46329
0.059138;0.4862
0.057923;0.51049
0.056817;0.53627
0.05581;0.56378
0.054901;0.59326
0.054078;0.62487
0.05333;0.65867
0.052671;0.69472
0.052093;0.73327
0.051602;0.77455
0.0512;0.81879
0.050875;0.86626
0.050618;0.91716
0.050419;0.97159
0.050264;1.0298
0.050148;1.092
0.050066;1.1585
0.050016;1.2295
0.05;1.305
0.05;1.3851
0.05;1.4698
0.05;1.5593
0.05;1.6537
0.05;1.753
0.05;1.8576
0.05;1.9674
0.05;2.0828
0.050007;2.204
0.050036;2.3311
0.050084;2.4645
0.050141;2.6045
0.050216;2.7514
0.050311;2.9056
0.050435;3.0673
0.050612;3.2367
0.050883;3.4141
0.051358;3.5995
0.05219;3.7932
0.05385;3.9951
0.057565;4.2054
0.067489;4.4239
0.077572;4.6508
0.087847;4.8859
0.098481;5.1291
0.10992;5.3801
0.12293;5.6383
0.13912;5.9032
0.15845;6.1743
0.17757;6.4511
0.19579;6.7329
0.21005;7.0191
0.2297;7.3086
0.25044;7.6008
0.27259;7.8946
0.29702;8.1894
0.32399;8.4846
0.34882;8.7798
0.37228;9.0744
0.3983;9.3683
0.4268;9.6612
0.45505;9.953
0.48061;10.244
0.50945;10.534
0.53873;10.823
0.56763;11.112
0.59764;11.401
0.62868;11.689
0.66094;11.977
0.6944;12.264
0.72688;12.551
0.76081;12.838
0.79598;13.123
0.82986;13.408
0.86571;13.692
0.90305;13.975
0.94211;14.256
0.98379;14.535
1.0264;14.813
1.0683;15.089
1.1123;15.362
1.1571;15.633
1.204;15.902
1.2525;16.167
1.305;16.43
1.359;16.69
1.4114;16.946
1.4655;17.198
1.5208;17.448
1.5773;17.693
1.6349;17.935
1.6937;18.173
1.7527;18.408
1.8132;18.639
1.8727;18.867
1.9342;19.093
1.9959;19.315
2.062;19.534
2.1306;19.751
2.2019;19.965
2.2728;20.177
2.3441;20.385
2.4207;20.591
2.4964;20.795
2.5733;20.996
2.655;21.196
2.7392;21.392
2.8229;21.586
2.9095;21.778
2.9999;21.967
3.0959;22.153
3.1994;22.335
3.3084;22.515
3.4218;22.692
3.5472;22.865
3.6844;23.034
3.8404;23.2
4.0062;23.361
4.1874;23.519
4.3826;23.673
4.5734;23.823
4.7694;23.969
4.9689;24.11
5.1806;24.247
5.3923;24.378
5.5978;24.505
5.7955;24.626
5.9895;24.741
6.1707;24.849
6.3384;24.951
6.5149;25.045
6.6832;25.133
6.8473;25.214
7.0078;25.288
7.1631;25.355
7.313;25.413
7.4552;25.465
7.5929;25.51
7.7288;25.547
8.7815;25.547
