significant wave height [m];zero-upcrossing period [s]
2.0878;3.5588
2.1206;3.5871
2.1538;3.6156
2.1876;3.6445
2.2224;3.6742
2.2572;3.7037
2.2924;3.7334
2.3279;3.7634
2.3635;3.7933
2.3993;3.8234
2.4343;3.8527
2.4677;3.8807
2.499;3.9072
2.5284;3.9322
2.5563;3.9561
2.5833;3.9794
2.6135;4.0054
2.6494;4.0358
2.6907;4.0703
2.7369;4.1088
2.7874;4.1506
2.8413;4.1951
2.8988;4.2426
2.958;4.2918
3.0217;4.3449
3.0931;4.4052
3.1577;4.462
3.2192;4.5179
3.2952;4.5854
3.3766;4.6581
3.4626;4.7357
3.5463;4.8143
3.8961;5.0713
4.4059;5.4218
4.9553;5.7827
5.2887;6.0099
5.5288;6.183
5.6518;6.2937
5.7078;6.3727
6.1349;6.6615
6.5113;6.9242
6.6368;7.0554
6.6287;7.1192
6.6079;7.1788
6.6341;7.2661
6.8814;7.4767
7.2132;7.7367
7.6967;8.0774
8.2935;8.4719
8.5501;8.6893
8.8601;8.9328
9.3763;9.2797
9.6903;9.5275
9.8955;9.7258
10.056;9.9067
10.212;10.089
10.34;10.261
10.4;10.402
10.394;10.512
10.321;10.591
10.206;10.65
10.078;10.702
9.983;10.773
9.8782;10.838
9.7398;10.886
9.586;10.926
9.4687;10.987
9.3611;11.056
9.2205;11.107
9.0811;11.16
8.952;11.22
8.8571;11.304
8.7649;11.392
8.6185;11.447
8.4255;11.471
8.1818;11.46
7.9063;11.424
7.6327;11.385
7.3708;11.35
7.1037;11.306
6.8434;11.263
6.5889;11.22
6.3217;11.161
6.0277;11.071
5.7308;10.969
5.4646;10.887
5.2195;10.819
4.9829;10.752
4.7547;10.688
4.5286;10.62
4.2922;10.531
4.0435;10.418
3.7967;10.295
3.562;10.176
3.3325;10.05
3.1103;9.9205
2.8942;9.784
2.6836;9.6391
2.4802;9.488
2.2842;9.3298
2.0928;9.1564
1.9108;8.9762
1.7416;8.7969
1.5883;8.6282
1.4507;8.474
1.3217;8.3163
1.1976;8.1424
1.0789;7.951
0.96936;7.7542
0.87288;7.5694
0.79205;7.4153
0.72471;7.2919
0.66882;7.1982
0.6224;7.1314
0.58336;7.0857
0.55063;7.0599
0.52312;7.0519
0.49944;7.0563
0.47811;7.066
0.45839;7.0773
0.43993;7.0891
0.42241;7.0999
0.40559;7.1083
0.3894;7.1143
0.3736;7.1162
0.35819;7.1141
0.34306;7.1071
0.32822;7.0953
0.31366;7.0788
0.29952;7.0589
0.28577;7.0357
0.27238;7.0092
0.25943;6.9802
0.24695;6.9496
0.23497;6.918
0.22344;6.8853
0.21235;6.8519
0.20175;6.8188
0.19169;6.7867
0.1821;6.7559
0.17292;6.7259
0.16413;6.6966
0.15574;6.6681
0.14769;6.64
0.14005;6.6138
0.13278;6.5895
