significant wave height [m];zero-upcrossing period [s]
3.0503;5.1009
3.1028;5.1454
3.1495;5.1851
3.193;5.2223
3.235;5.2584
3.2769;5.2945
3.322;5.3333
3.3739;5.3777
3.4366;5.4308
3.5154;5.4963
3.6134;5.5766
3.7274;5.6685
3.8496;5.7658
3.9766;5.8659
4.1358;5.9885
4.3904;6.1771
4.7042;6.4018
5.071;6.6555
5.4732;6.924
5.8699;7.1811
6.1921;7.387
6.4714;7.5642
6.7167;7.7194
6.9394;7.8605
7.1432;7.9901
7.3218;8.1056
7.4709;8.2049
7.5849;8.2858
7.6599;8.3465
7.6925;8.3856
7.6917;8.4082
7.6814;8.4272
7.6861;8.456
7.7265;8.5058
7.8087;8.5797
7.9218;8.6712
8.0377;8.7648
8.1183;8.8395
8.1249;8.8749
8.0252;8.8527
7.8124;8.7677
7.5123;8.6309
7.1748;8.4682
6.8584;8.3125
6.616;8.1975
6.4796;8.1461
6.4465;8.1599
6.4774;8.2157
6.5216;8.2815
6.5471;8.3371
6.5426;8.3749
6.5114;8.3967
6.4781;8.4181
6.4809;8.4642
6.5394;8.5484
6.6347;8.6585
6.738;8.7761
6.8288;8.8877
6.8851;8.9791
6.8811;9.0332
6.8072;9.0428
6.6692;9.0103
6.4976;8.9547
6.3276;8.8994
6.1904;8.8668
6.1029;8.8705
6.0638;8.9111
6.0422;8.967
6.009;9.0169
5.9468;9.0476
5.8555;9.0587
5.7473;9.0588
5.6372;9.0599
5.5534;9.0848
5.5127;9.1487
5.4907;9.2328
5.4419;9.2991
5.3643;9.3451
5.2851;9.3941
5.2024;9.4446
5.1363;9.5146
5.132;9.6478
5.165;9.8235
5.165;9.9754
5.1222;10.093
5.0381;10.177
4.9317;10.243
4.8212;10.309
4.7325;10.401
4.6921;10.551
4.7028;10.766
4.7321;11.011
4.7735;11.28
4.8121;11.556
4.8143;11.797
4.776;11.994
4.7076;12.157
4.6189;12.297
4.5116;12.414
4.3841;12.504
4.2411;12.57
4.0875;12.616
3.9248;12.639
3.7631;12.651
3.6176;12.678
3.4933;12.728
3.3847;12.796
3.2826;12.866
3.176;12.916
3.055;12.926
2.9175;12.888
2.7691;12.811
2.6169;12.707
2.4665;12.59
2.3221;12.467
2.1862;12.347
2.0591;12.231
1.9412;12.123
1.8334;12.026
1.7352;11.942
1.6457;11.87
1.5638;11.808
1.4881;11.753
1.4174;11.701
1.3509;11.652
1.2879;11.602
1.2274;11.548
1.1695;11.49
1.1129;11.423
1.0579;11.347
1.0045;11.263
0.95242;11.169
0.90179;11.066
0.85337;10.957
0.80658;10.841
0.76156;10.718
0.71882;10.592
0.67816;10.464
0.63944;10.332
0.60307;10.2
0.56907;10.072
0.53744;9.9469
0.50805;9.8265
0.48085;9.7117
0.4556;9.602
0.43216;9.4973
0.41028;9.3961
0.38985;9.2984
0.37087;9.2053
0.35321;9.1162
0.3367;9.0303
0.3213;8.9482
0.30696;8.8704
0.29355;8.7958
0.28109;8.7251
0.26949;8.6573
0.25871;8.5926
0.24861;8.5299
0.2392;8.4701
0.23036;8.412
0.22205;8.3559
0.21426;8.3013
0.20699;8.2486
0.20018;8.1967
0.19386;8.1464
0.18799;8.0969
0.18255;8.0484
0.17755;8.0015
0.17292;7.9551
0.16865;7.9094
0.16474;7.8651
0.16113;7.821
0.15781;7.777
0.15478;7.7337
0.15202;7.6906
0.14951;7.6471
0.14726;7.6039
0.14526;7.5607
0.14348;7.5173
0.14193;7.4736
0.1406;7.4299
0.13947;7.3859
0.13854;7.3416
0.13779;7.297
0.13723;7.2523
0.13684;7.2073
0.13659;7.1616
0.1365;7.1157
0.13655;7.0692
0.13671;7.0213
0.13701;6.9727
0.13742;6.9227
0.13791;6.8708
0.13851;6.8181
0.13916;6.7633
0.13986;6.7068
0.14059;6.6487
0.14135;6.5895
0.14212;6.5287
0.14291;6.4671
0.14372;6.4043
0.14455;6.3403
0.14547;6.2767
0.1464;6.2115
0.14746;6.1481
0.14857;6.0848
0.14977;6.0227
0.15096;5.9598
0.15222;5.8974
0.15354;5.8354
0.15488;5.773
0.15634;5.7122
0.15774;5.6499
0.1592;5.5881
0.16059;5.5247
0.16205;5.4619
0.16337;5.3963
0.16466;5.3299
0.16583;5.2613
0.16691;5.1911
0.16749;5.1131
0.16772;5.0298
0.16755;4.9412
0.16667;4.8425
0.16518;4.7358
0.16367;4.6301
0.1621;4.5246
0.16068;4.4222
0.15996;4.3306
0.15967;4.2455
0.15984;4.1671
0.16021;4.092
0.16089;4.0211
0.16128;3.9471
0.16162;3.8732
0.16152;3.7948
0.16125;3.7155
0.16077;3.635
0.16048;3.558
0.16048;3.4856
0.16117;3.4219
0.16227;3.3638
0.16377;3.3108
0.16577;3.2637
0.16752;3.2151
0.16872;3.1622
0.16904;3.1022
0.16823;3.0332
0.16603;2.9531
0.16342;2.8706
0.1609;2.79
0.15964;2.7209
0.15956;2.6625
0.16101;2.6168
0.1638;2.582
0.16709;2.5507
0.16963;2.514
0.17227;2.4787
0.17607;2.4524
0.18102;2.4343
0.18649;2.4196
0.19276;2.4095
0.19946;2.4012
0.20574;2.3895
0.21177;2.376
0.21855;2.3664
0.2263;2.3616
0.23395;2.356
0.24052;2.3448
0.24502;2.324
0.24793;2.2967
0.25103;2.2717
0.25594;2.2562
0.26205;2.2469
0.26929;2.2431
0.27842;2.2472
0.28972;2.2597
0.30133;2.273
0.31418;2.2904
0.32972;2.3169
0.3478;2.3509
0.36534;2.3816
0.38185;2.4078
0.39643;2.4273
0.40912;2.4407
0.42042;2.4501
0.4336;2.4651
0.44907;2.4863
0.46818;2.5169
0.49005;2.5537
0.51166;2.5885
0.52999;2.6141
0.54623;2.6339
0.55953;2.6464
0.57015;2.6526
0.58119;2.6599
0.59592;2.6756
0.61329;2.6968
0.63178;2.72
0.65073;2.7436
0.66912;2.7656
0.6857;2.7836
0.70263;2.802
0.72103;2.8232
0.74302;2.851
0.76979;2.8871
0.79885;2.9264
0.82835;2.9655
0.85821;3.0042
0.88633;3.0391
0.91145;3.0683
0.93408;3.0929
0.95294;3.1111
0.96955;3.1254
0.9879;3.1423
1.0137;3.1705
1.0524;3.218
1.1002;3.2779
1.1514;3.341
1.1971;3.3944
1.2274;3.4251
1.2376;3.4273
1.2362;3.4137
1.2322;3.3968
1.2349;3.3895
1.2519;3.4021
1.2869;3.4392
1.3421;3.5026
1.4125;3.5841
1.4898;3.6721
1.565;3.7553
1.6306;3.8251
1.6813;3.8764
1.7205;3.9139
1.7523;3.9429
1.7828;3.9702
1.8156;4
1.8522;4.0339
1.893;4.072
1.9359;4.1122
1.9805;4.1539
2.0246;4.1947
2.0675;4.2341
2.1074;4.2702
2.1459;4.3048
2.1815;4.3366
2.216;4.3672
2.2497;4.397
2.2828;4.4262
2.3172;4.4567
2.353;4.4886
2.3925;4.5239
2.4372;4.5641
2.4926;4.6141
2.5626;4.6771
2.646;4.7516
2.7363;4.8312
3.0503;5.1009
