U10 (m/s);Hs(m)
25.3808493391622;8.66921630878713
25.3561062593140;8.81379872422680
25.3233314052857;8.88954912039270
25.2687688751302;8.98645247632334
25.2274707333887;9.02037552923124
25.1368132013724;9.13723417484780
24.8527120764304;9.25949919777985
24.2862255345159;9.33549070498520
22.2554768372511;9.33549070498520
15.0305827115065;8.12004461984721
6.40857612759525;5.09184932538501
2.57306105112091;2.96186976036837
1.00161885712052;1.69946433338905
0.390838745582283;0.983351890811656
0.133746474968971;0.561720478666257
0.0387622666260508;0.310759362115401
0.0162621334203066;0.186380118107137
0.0162621334203065;0.148165325798550
0.0186980153124195;0.135559755655052
0.0210604018345435;0.129895776427268
0.0233805295438298;0.125908494245449
0.0268279774690513;0.122097426792041
0.0305307053741780;0.119091887498220
0.0354251834153979;0.116566335172412
0.0435238106983871;0.113011945757219
0.0996156479472559;0.102455673745266
11.3512682816375;0.102455673745264
12.9558208826300;0.438289789851261
17.9967991348213;2.33274530150770
22.3139546606877;4.86764895217085
24.3465860945615;6.63115142305321
25.0860300234328;7.56581908700988
25.3112106521289;7.95225658093891
25.3647270023383;8.27547881945328
25.3956623653891;8.46257166728872
