U10 (m/s);Hs(m)
24.7189620642934;7.88584265639091
24.6364190965724;8.04651646048723
24.5628262265450;8.18243695833437
24.4544345070497;8.27424566123002
24.2790473777195;8.42251874980607
24.0024622261730;8.56786044188517
23.4757978089243;8.75308672550944
22.6312737045175;8.94182792778190
20.2731530557017;8.94182792778190
13.0958831992259;7.51867627973827
5.11468788575038;4.42667078965097
1.83584060565582;2.36012361764925
0.642047816233764;1.28933253242567
0.219635983942225;0.694656846700586
0.0719854768541512;0.391309841757560
0.0215658741436675;0.221454434202680
0.00926089051807486;0.144323279445543
0.00926089051807476;0.123187510278767
0.0103791945974312;0.117322329645278
0.0111187879340502;0.114641953585845
0.0118153367422291;0.113313488760251
0.0133836555536826;0.112033272883496
0.0152752915716832;0.110565794265769
0.0180670599829531;0.108938534998302
0.0236017865733747;0.107852782571958
0.0695750498765224;0.102258760792265
10.7581045392479;0.102258760792263
12.3847837188752;0.263484202858769
17.1992000764137;1.94846850598739
21.5100039502844;4.35265653710927
23.4171243448689;5.82159638177798
24.2483094507026;6.68510220846817
24.5383940088360;7.11851035452488
24.7115096992364;7.45857242089627
24.7518778500455;7.61570105934265
