wind speed (m/s);significant wave height (m)
25.828288637962;12.9903991115819
26.8166035680208;12.902527072405
27.4873641565705;12.6415814341388
27.868391022303;12.2154942345893
27.9909678811851;11.6372226277939
27.8883035625701;10.9243605050645
27.5945692668388;10.0986061117334
27.1438179864276;9.18509548262139
26.5680715216801;8.21161195707945
25.8937397385429;7.20768037492389
25.135460770655;6.20355008024004
24.2869370030585;5.22906309707077
23.3105840924767;4.31239357386436
22.1333788910639;3.47863643621244
20.6640126929256;2.74823080179645
18.8453536979985;2.13525696740327
16.7273483447155;1.64579042648463
14.498565568284;1.27675728219241
12.4191572052384;1.01600967009627
10.6901543697015;0.844291553288438
9.36762519078214;0.739027589482369
8.38052380370724;0.678696029855385
7.60840570861494;0.646022587967357
6.94557977165364;0.629042007234409
6.32406624044504;0.620418473642014
5.70947527026715;0.616061804260444
5.08951087097716;0.613841078213271
4.46457355639669;0.612693113821172
3.84211200865329;0.612100428574158
3.2336386168847;0.611816565364753
2.65307184588511;0.611732257783276
2.11541319082459;0.611816565364753
1.63511511757683;0.612100428574158
1.22389257518517;0.612693113821172
0.888325743497598;0.613841078213271
0.628228267190466;0.616061804260444
0.436808099051698;0.620418473642014
0.302760497142846;0.629042007234409
0.213280189569385;0.646022587967356
0.156659245652864;0.678696029855385
0.123793557217314;0.739027589482368
0.108785749786239;0.844291553288437
0.109322175751656;1.01600967009627
0.12765196839671;1.2767572821924
0.173122421652608;1.64579042648463
0.267363339297329;2.13525696740327
0.452419290352356;2.74823080179645
0.798617235064721;3.47863643621244
1.4033776282725;4.31239357386436
2.37180246090769;5.22906309707077
3.78172300689475;6.20355008024003
5.65104754534526;7.20768037492389
7.92578434454321;8.21161195707945
10.4923927219158;9.18509548262139
13.2044558987577;10.0986061117334
15.9110314597154;10.9243605050645
18.4788144441866;11.6372226277939
20.805438307309;12.2154942345893
22.8240714642972;12.6415814341388
24.5009083732525;12.902527072405
25.828288637962;12.9903991115819
