zero-up-crossing period (s);significant wave height (m)
9.05011579648118;8.90546102519734
9.07914259231795;8.90056782512342
9.13136637270466;8.88078294167373
9.13077194545851;8.88117251063563
9.16316618748384;8.8473070772831
9.2120805181457;8.76641820954521
9.29021031837781;8.55013493973144
9.38451369433797;8.02420159433869
9.4601957355064;5.88684475072471
9.22374173844514;3.05869011752992
9.03173058072598;2.02490613620666
8.95256535822124;1.7382622010663
8.89881323056326;1.58834138393291
8.81229266301626;1.38965117310161
8.76016760541938;1.28724654307649
8.73650042087922;1.24650844711333
8.65124487718094;1.11593031545236
8.61476196744301;1.06571049960853
8.56614290102842;1.00519252517243
8.5355632893295;0.970668135296201
8.46967311439868;0.903170351163433
8.43589498384097;0.871845340638265
8.34313992336015;0.794376974081823
8.29593410246607;0.75918094443839
8.20113673148883;0.696943532031536
8.10165325541772;0.640630940158099
7.97393599029983;0.580343630247738
7.82401588412844;0.524565171991938
7.57754344043069;0.459729577144954
7.08972103668107;0.390963959475215
2.44710321006753;0.390963959475214
2.3510160555541;0.407161877916233
2.32467299964147;0.417141896349998
2.31290630625815;0.424853417913019
2.30243804374495;0.43579709877396
2.29740783948993;0.444115469304107
2.29551373775777;0.449358827341296
2.29526533612339;0.450744172258609
2.29495563229705;0.45949060116707
2.29584530238895;0.470131675641187
2.29941705188933;0.489361898835815
2.2990751373255;0.488123883796396
2.30324103187381;0.499743039018455
2.30673446662454;0.507765539411448
2.32387041452357;0.541430737794557
2.34399075193861;0.576063680087907
2.50359033055953;0.820507781740127
4.49684040952944;3.56427609999153
8.1289413688356;8.08528831216061
8.55425701326477;8.56546978971852
8.64128934525912;8.65462556390935
8.73623935639045;8.74267987742359
8.71821745884225;8.72762811681808
8.83885380345657;8.81757296431152
8.87943515081863;8.84421587672314
8.99085523332135;8.90728518109682
8.93723550885085;8.88197467242379
8.91132499879076;8.87233454915626
9.03322920303443;8.90440195384422
9.04074224153725;8.90546102519734
9.05011579648118;8.90546102519734
