zero-up-crossing period (s);significant wave height (m)
10.7183882831411;10.2866563012381
10.6874217585389;10.2888734367611
10.7768345480288;10.2755886674102
10.688432025476;10.2962305899784
10.6686015078806;10.3027722408108
10.7547669202253;10.2646140766988
10.7396982895113;10.2733596830512
10.8526921023587;10.1879610639192
11.7874290436367;9.25959928893444
14.5326652756234;5.57613092325838
16.5478730110243;1.706833829459
16.8546597194914;0.754192598139942
16.8746384535481;0.612528049634184
16.8743001535402;0.600457223680041
16.8679060656593;0.566749570701004
16.8885544185996;0.62611361914171
16.8779345591809;0.605124066830019
16.8498987348591;0.563130728949669
16.89892828233;0.621730830661759
16.8153917338052;0.539646341301363
16.8423402791811;0.561799377178474
16.861578277625;0.575150406611945
16.8061807627968;0.54261184562159
16.8168822361396;0.547912791212166
16.7557128311045;0.52262202907468
16.7273059544434;0.513004849853162
16.7561901238086;0.520754670562666
16.6769020763604;0.504828005637258
16.4121517840823;0.469176804164581
15.6720232339833;0.418699354404164
1.70895786295561;0.418699354404163
1.58805381117261;0.42735582042772
1.55295881968535;0.432570162469167
1.53727612343777;0.436232060255045
1.52768638681705;0.439395503077277
1.50855059018642;0.447869748698314
1.50584792191429;0.449438336664802
1.5078477588332;0.447926897170365
1.49255857292762;0.463111806569555
1.48401090202859;0.474580792367546
1.48403626049903;0.474532102868068
1.48339752191927;0.476515528780327
1.48211404843297;0.485616340245157
1.48280971315284;0.510438236665826
1.48395796505507;0.516491465425628
1.50407801832477;0.574336651450307
1.52708989978662;0.619818335406053
1.64900682136788;0.802431067691719
5.34266878366161;5.21709483363387
10.2556455811372;10.0446726876608
10.5218674642444;10.2635202300973
10.4544744830982;10.2167499968262
10.5372588342335;10.2653746267725
10.6058423064488;10.2993472624068
10.5980644147889;10.2961314585619
10.6845742109662;10.3254194448541
10.418112632434;10.253925976114
10.6091895799025;10.2923077828962
10.5890882540123;10.2896009438857
10.5459122595097;10.2866563012381
10.7183882831411;10.2866563012381
