"Hs.Pf....1.14e.04";"U.Pf....1.14e.04";"Hs.Pf....5.70e.06";"U.Pf....5.70e.06";"Hs.Pf....2.28e.06";"U.Pf....2.28e.06"
"0";12.9903991115819;25.828288637962;16.2253749919946;29.9293290168879;17.1834517690307;31.076899641682
"6";12.902527072405;26.8166035680208;16.1092046253143;30.9600461504504;17.0588634576769;32.1137363342366
"12";12.6415814341388;27.4873641565705;15.7642731759072;31.5967441389959;16.6889482866005;32.7355257459964
"18";12.2154942345893;27.868391022303;15.2012162158085;31.8814907079298;16.0851451197596;32.9883410173611
"24";11.6372226277939;27.9909678811851;14.4374176017321;31.8580527146493;15.2661533910298;32.9192396160562
"30";10.9243605050645;27.8883035625701;13.4965048610722;31.5712223907025;14.2573944550656;32.5759403720222
"36";10.0986061117334;27.5945692668388;12.4076589261385;31.0670496417761;13.0902752743014;32.0074775704048
"42";9.18509548262139;27.1438179864276;11.2047522085336;30.3930101187741;11.8012698772445;31.2648082339191
"48";8.21161195707945;26.5680715216801;9.92532935475455;29.5971878473754;10.4308344643574;30.4004446197996
"54";7.20768037492389;25.8937397385429;8.60944160789078;28.7251662650193;9.02216824500569;29.4657409556288
"60";6.20355008024004;25.135460770655;7.29833629089622;27.8124835789515;7.61982131427353;28.5033903461851
"66";5.22906309707077;24.2869370030585;6.03298437222609;26.8696194935954;6.26812891399168;27.5312302373493
"72";4.31239357386436;23.3105840924767;4.85239808531395;25.8576101750765;5.00941303674064;26.5136824766816
"78";3.47863643621244;22.1333788910639;3.79164793732103;24.6615133322393;3.88183553334567;25.3263883090205
"84";2.74823080179645;20.6640126929256;2.87945278619353;23.0937973042434;2.91672931211495;23.7503601570441
"90";2.13525696740327;18.8453536979985;2.13525696740327;20.9848608296541;2.13525696740327;21.5717519085882
"96";1.64579042648463;16.7273483447155;1.5659872087858;18.3656339249121;1.54456382824107;18.808945101696
"102";1.27675728219241;14.498565568284;1.16340630014294;15.5770426064472;1.13451694203767;15.8591078791255
"108";1.01600967009627;12.4191572052384;0.903995099095532;13.1024462807637;0.877508201358228;13.2861325146719
"114";0.844291553288438;10.6901543697015;0.753379057734227;11.2403419374708;0.733961877681782;11.410731892227
"120";0.739027589482369;9.36762519078214;0.674844915273253;9.96693371715535;0.662794607558926;10.1676303167478
"126";0.678696029855385;8.38052380370724;0.637791325923155;9.07370764821496;0.631198212505835;9.30230768221052
"132";0.646022587967357;7.60840570861494;0.621681068619084;8.35501913700076;0.618370713758828;8.59121569482931
"138";0.629042007234409;6.94557977165364;0.615056873206066;7.68461178371888;0.613467122704684;7.90983126367751
"144";0.620418473642014;6.32406624044504;0.612403665778827;7.00542307985591;0.611642649654552;7.20764287109138
"150";0.616061804260444;5.70947527026715;0.611337716746881;6.29978557572678;0.610959941138089;6.47210087400209
"156";0.613841078213271;5.08951087097716;0.610897311100822;5.56872744875085;0.610695664289435;5.70730557792036
"162";0.612693113821172;4.46457355639669;0.61070737895555;4.82196241443233;0.610587920032309;4.92485984778548
"168";0.612100428574158;3.84211200865329;0.610622459233981;4.0739578921883;0.610541850713033;4.14071746808872
"174";0.611816565364753;3.2336386168847;0.610585652204511;3.34261601095802;0.610522492250147;3.37435517286748
"180";0.611732257783276;2.65307184588511;0.610575265351989;2.64868984135368;0.610517115396965;2.64846952357187
"186";0.611816565364753;2.11541319082459;0.610585652204511;2.01476051906817;0.610522492250147;1.98800919221754
"192";0.612100428574158;1.63511511757683;0.610622459233981;1.4627969866159;0.610541850713033;1.41738926220294
"198";0.612693113821172;1.22389257518517;0.61070737895555;1.00982894582989;0.610587920032309;0.955267465937829
"204";0.613841078213271;0.888325743497598;0.610897311100822;0.662838309987742;0.610695664289435;0.60833542481424
"210";0.616061804260444;0.628228267190466;0.611337716746881;0.415915486712861;0.610959941138089;0.36816982459512
"216";0.620418473642014;0.436808099051698;0.612403665778827;0.252331195324945;0.611642649654552;0.214394383004427
"222";0.629042007234409;0.302760497142846;0.615056873206066;0.150559915705521;0.613467122704684;0.122345531000814
"228";0.646022587967356;0.213280189569385;0.621681068619084;0.0903943543065646;0.618370713758828;0.0700755729177993
"234";0.678696029855385;0.156659245652864;0.637791325923155;0.0562965461121303;0.631198212505835;0.041567354014974
"240";0.739027589482368;0.123793557217314;0.674844915273252;0.0379063271506549;0.662794607558926;0.0266599610956849
