zero-up-crossing period (s);significant wave height (m)
10.6560116224458;10.2753994277789
10.6855725374125;10.2743571003528
10.7132605657853;10.2723746979987
10.7120980173508;10.2725017322091
10.7119650066421;10.2725214946681
10.7032220878489;10.2741813775668
10.6827110161065;10.2789706974015
10.6899691000435;10.2769385497731
10.6987556806209;10.2740400504337
10.7232170728982;10.2646498740378
10.728822139052;10.2621676827695
10.7250052293608;10.2641062227783
10.7323429963363;10.259847493323
10.7655591884294;10.2378518366456
10.883349369769;10.1488282115442
11.1445606356201;9.92300621413783
11.7272395061357;9.34430137581356
12.6736492686066;8.25713107959176
13.9215863853565;6.58268979168308
15.1395296783214;4.64709045730973
16.0698269105113;2.86087441930624
16.582531086243;1.63657939705039
16.7898257114069;0.992883299691026
16.8431758373388;0.760635944880022
16.8546830610449;0.679040902559554
16.8569332185502;0.638361281551365
16.8561120731375;0.609062129535479
16.8537348331304;0.587358185100585
16.8525639925301;0.581185875713827
16.8528110533172;0.582104398085991
16.8600883964464;0.60302677147292
16.8665367179061;0.618139714230128
16.8651653037741;0.615429191658346
16.855344165773;0.598673043458681
16.8508116384566;0.59188401707361
16.8536781110951;0.595701064741993
16.8637011715759;0.6076806238842
16.8476510344067;0.590335955265811
16.8261899665275;0.569247930573659
16.8013202926689;0.546931818083764
16.8038949692008;0.549048329412587
16.8209201549943;0.561898642107261
16.8271198787071;0.566201204767858
16.8297333894498;0.567869924090315
16.8121792810773;0.557559255323278
16.8109363566044;0.556888262001271
16.7956565953758;0.549319474011544
16.7819255046621;0.543094415089405
16.7526796647613;0.531002592714848
16.7330662922398;0.523641908785393
16.7232507173668;0.520318835156371
16.7275182853928;0.5216117829392
16.7291608722062;0.522052500245019
16.7138824420842;0.518472136214391
16.6655292253195;0.5087593799256
16.5805908260945;0.494514762884686
16.452438195239;0.477257764893982
16.2159704872621;0.453243848451383
14.3715854778661;0.327455089676706
10.9749905728765;0.210557426255384
6.23421780825214;0.210557426255383
3.13158244168802;0.319957353131713
1.62988549210565;0.427475574647318
1.59242511514129;0.431568951979489
1.57329652431426;0.434411038873259
1.55986259483279;0.436961531487451
1.55214351385383;0.438763931093975
1.54568655066117;0.44057177770373
1.53933556455729;0.44266682808926
1.53129665707657;0.445752783231074
1.52306922289436;0.449396284436518
1.5188065921535;0.451561198176301
1.51752894918592;0.452302722915056
1.51900371669612;0.451326136563967
1.51792980346838;0.452137780178831
1.51363013642141;0.455854922307316
1.50625884795564;0.463175936532622
1.49998337363221;0.47038476884783
1.49582341575232;0.475966464541108
1.49511345330017;0.477094762432922
1.49425244315861;0.478747943879132
1.49446220849852;0.478247041655936
1.49354221005815;0.481103842237034
1.49336608379256;0.481870566937022
1.49249509177079;0.488046568437739
1.49212681583904;0.494704469182099
1.49240951437249;0.504791388232364
1.49322715017673;0.512256314790031
1.49547462872867;0.524104326346706
1.4997110852165;0.539854620472323
1.50798387765838;0.563638912259696
1.5176158336405;0.586213345049221
1.53385026592811;0.618299783514927
1.56485131547837;0.671191635818435
1.71294943676076;0.893019764539087
2.50410175043942;1.94653273157188
4.20409360552453;3.97836253128116
6.72298806318014;6.70041961977006
8.86630344106509;8.80647920014285
10.1184750108312;9.93008065010026
10.4507173184835;10.2032002437057
10.4734688957865;10.2203727366339
10.4720710462334;10.2194026393246
10.4575309396797;10.2101188218293
10.4915236433034;10.2300849460051
10.5294057475705;10.2505356166139
10.5700559638218;10.2706715902028
10.5996213526204;10.2840752076695
10.6012292742833;10.284740010021
10.6192140834565;10.2914895119596
10.6066058214825;10.2872209710523
10.5902769001598;10.2822737874359
10.5154933614769;10.2622088511905
10.5047122960992;10.2596824045345
10.5298610419985;10.2647340568595
10.6008292052963;10.2766357917344
10.6121530205645;10.278160653581
10.5869720672476;10.2756034616748
10.5742419657125;10.2747352570088
10.5935402047678;10.2753994277789
10.6560116224458;10.2753994277789
