"Hs.Pf....1.14e.04";"Tz.Pf....1.14e.04";"Hs.Pf....5.70e.06";"Tz.Pf....5.70e.06";"Hs.Pf....2.28e.06";"Tz.Pf....2.28e.06"
"0";6.88526726844069;8.3766315027828;9.10901967271855;9.38343617118298;9.74340140668896;9.73243049234136
"6";6.87961584735487;8.43569003865858;9.10747134636011;9.39961650642938;9.74144149580357;9.75291197223465
"12";6.87118494550915;8.47754593861905;9.09435502328871;9.46473356227617;9.73874589937356;9.76629448060367
"18";6.85381015441034;8.53156427407359;9.08601615548427;9.49065915503921;9.74471962122347;9.74772214157721
"24";6.82706107793167;8.58935542311114;9.09626721455626;9.46851183032336;9.7264297448506;9.78723726174169
"30";6.79994282492916;8.63204706229662;9.08530440256706;9.48577033196275;9.66577066412992;9.88273145110597
"36";6.72818954675561;8.71589989488624;9.06729227327554;9.50681979618947;9.73315261844285;9.80398706648152
"42";6.51138879590393;8.90354316065435;8.99483886649369;9.56952896030059;9.6808704108706;9.84923785150826
"48";5.64897786848001;9.44320710050142;8.22389454339784;10.0519565798664;9.02756587283657;10.2580509702944
"54";3.92575712305451;10.1798293863386;5.08605095932158;11.3932853212001;5.57750475836323;11.7328428164161
"60";2.39452241674901;10.5738323685403;1.77218479582573;12.2459783444565;1.799739570864;12.7049019944136
"66";1.63308300750915;10.6550189475913;1.02042252948422;12.3261331222671;0.95074300926363;12.7954241365906
"72";1.26623367394817;10.6437959072676;0.929023966667198;12.3233369613853;0.856208400335696;12.7925320344905
"78";1.19628652412748;10.6326920662768;0.930805260348732;12.3236197349057;0.845329678084235;12.7908050791768
"84";1.13985013655159;10.6168166035246;0.889817744885698;12.3120900144011;0.934813517480583;12.8159767356254
"90";1.11064687115352;10.6051010568724;0.840350618099514;12.2922451640491;0.869996114977485;12.7899737769648
"96";1.0826708012365;10.5905242200285;0.807837731348785;12.2753044341005;0.837029387096342;12.7727965746264
"102";1.0040490308569;10.5399233411196;0.823696211852783;12.2855109334936;0.815875724650177;12.7591821023657
"108";0.989583706845346;10.5287596994515;0.826477413519029;12.2876573312365;0.821044979732025;12.7631714849318
"114";0.94458990940254;10.4878618005756;0.790355699384173;12.2548238676066;0.787483510804911;12.7326652009479
"120";0.930774080229572;10.4732217795894;0.799795662996773;12.2648269780726;0.784489947617181;12.7294930549013
"126";0.906939199924879;10.4439093267364;0.789483723347939;12.2521452175219;0.761565528898826;12.7013002998181
"132";0.884886524388785;10.4124157481413;0.765570398042978;12.2179944321113;0.740981505622963;12.6719041136828
"138";0.852126209575147;10.3577762867932;0.725825155926669;12.1517051234542;0.724879896726766;12.6450489615901
"144";0.837308283935684;10.3285705676313;0.729743172547165;12.1594274252037;0.705430155772669;12.6067140633123
"150";0.789299126371392;10.2144709536172;0.707237414687148;12.1059397487852;0.725746997244646;12.6549995131628
